"(Parent) ASIN","(Child) ASIN","Title","SKU","Sessions","Session Percentage","Page Views","Page Views Percentage","Buy Box Percentage","Units Ordered","Unit Session Percentage","Ordered Product Sales","Total Order Items"
"B07VW6F871","B07VSMY4RW","Desiderare Thick Fluffy Microfiber Bath Mat - 31"" x 19"" Anti-Fatigue Shaggy Comfort Bath Rug - Super Absorbent Bathroom Carpet - Non-Slip Luxury Plush Standing Mat, Dark Gray Fashion","YSD-FDG-50-80","143","0.19%","200","0.21%","100%","4","2.80%","$147.92","4"
"B07VW6F871","B07VW6J6N5","Desiderare Thick Fluffy Microfiber Bath Mat - 31"" x 19"" Anti-Fatigue Shaggy Comfort Bath Rug - Super Absorbent Bathroom Carpet - Non-Slip Luxury Plush Standing Mat, Norwegian White Impression","YSD-NIW-50-80","176","0.23%","241","0.25%","99%","4","2.27%","$171.14","4"
"B07RRZSCSX","B07L3WFM1C","2 Piece Non-Slip Anti-Fatigue Kitchen Mat - (17.7"" x 29.5""+17.7"" x 59"") Soft Non Skid Throw Rugs Runner Carpet for Kitchen Hallway Entryway and Bedroom - Oil Resistant Long PVC Kitchen F (Pink Crown)","Pink Crown","1,100","1.46%","1,353","1.39%","100%","3","0.27%","$157.92","3"
"B07RRZSCSX","B07JMDZBSR","2 Piece Non-slip Anti-Fatigue Kitchen Mat - (17.7"" x 29.5""+17.7"" x 59"") Soft Non Skid Throw Rugs Runner Carpet for Kitchen Hallway Entryway and Bedroom - Oil Resistant Long PVC Kitchen F (Dream Light)","Dream Light","3,043","4.05%","4,193","4.31%","100%","2","0.07%","$99.98","2"
"B07RRZSCSX","B07JHVFFP8","Anti-Fatigue Kitchen Mat | Pack of 2 | 2 Sizes| Professionally Designed | PVC Synthetic Fiber | Super Fashionable | Oil Prevent | Double Sided | (Black Marble)","1-ne-18","3,292","4.38%","4,240","4.35%","100%","1","0.03%","$49.99","1"
"B07Z35SXCW","B07VV251XD","Desiderare 35"" x 23"" PVC Door Mat Shoes Scraper - Heavy Duty Doormat - Outdoor Gate Front Entry Pad Rug - Waterproof Easy Clean Mats for Entrance, Garage, Love is air","SQ-LIA-60-90","42","0.06%","48","0.05%","100%","1","2.38%","$31.99","1"
"B07VSLZ8YM","B07VW6HLVP","Desiderare 35"" x 23"" Christmas Door Mats Rubber Backing Non Slip - Heavy Duty Doormats for High Traffic Areas - Shoe Scraper Pet Mat - Indoor Outdoor Rug - Floor Mats - Entrance Doormat, Diamond queen","DL-DQ-60-90","124","0.16%","176","0.18%","91%","1","0.81%","$34.63","1"
"B07VSLZ8YM","B07VW6N66M","Desiderare 35"" x 23"" PVC Door Mat - Heavy Duty Doormat -Indoor Outdoor Gate Front Entry Pad Rug - Waterproof Easy Clean Low-Profile Mats for Entrance, Garage, Patio, High Traffic Areas, Spiritual song","DL-ES-60-90","67","0.09%","110","0.11%","95%","1","1.49%","$31.99","1"
"B07VTL8X2F","B07VW6QK7W","Desiderare 35"" x 23"" PVC Door Mat Shoes Scraper - Heavy Duty Doormat - Outdoor Gate Front Entry Pad Rug - Waterproof Easy Clean Mats for Entrance, Garage, Blue space","SQ-BS-60-90","27","0.04%","38","0.04%","100%","1","3.70%","$45.64","1"
"B07VW6F871","B07VX5WSY8","Desiderare Thick Fluffy Microfiber Bath Mat - 31"" x 19"" Anti-Fatigue Shaggy Comfort Bath Rug - Super Absorbent Bathroom Carpet - Non-Slip Luxury Plush Standing Mat, Mint Green Fashion","YSD-FMG-50-80","145","0.19%","191","0.20%","100%","1","0.69%","$37.86","1"
